,Hotel,Rating,Location,Review_numbers
0,Trident Bandra Kurla,8.8,"Bandra, Mumbai","3,701 reviews"
1,Trident Nariman Point,8.7,"South Mumbai, Mumbai","4,300 reviews"
2,Taj Lands End,8.6,"Bandra, Mumbai","3,531 reviews"
3,Fairfield by Marriott Mumbai International Airport,8.2,"Western Suburbs, Mumbai","1,275 reviews"
4,Hotel BKC Annex,7.9,"Bandra Kurla Complex, Mumbai",144 reviews
5,"The Taj Mahal Tower, Mumbai",9.1,"Colaba, Mumbai","5,062 reviews"
6,"ITC Grand Central, a Luxury Collection Hotel, Mumbai",8.6,"South Mumbai, Mumbai","1,670 reviews"
7,Taj Santacruz,8.8,Mumbai,"3,453 reviews"
8,JW Marriott Mumbai Juhu,8.5,"Juhu, Mumbai","1,907 reviews"
9,The St. Regis Mumbai,8.8,"Worli, Mumbai","1,583 reviews"
10,The Leela Mumbai,8.6,"Western Suburbs, Mumbai","3,716 reviews"
11,Four Seasons Hotel Mumbai,8.5,"Worli, Mumbai","1,992 reviews"
12,Grand Hyatt Mumbai Hotel and Residences,8.0,"Santacruz, Mumbai","1,976 reviews"
13,JW Marriott Mumbai Sahar Airport,8.6,"Western Suburbs, Mumbai","2,864 reviews"
14,Residency Hotel Fort,8.4,"South Mumbai, Mumbai","2,251 reviews"
15,Sofitel Mumbai BKC,8.1,"Bandra, Mumbai","2,639 reviews"
16,Radisson Mumbai Andheri MIDC,8.2,"Western Suburbs, Mumbai","1,522 reviews"
17,"Holiday Inn Mumbai International Airport, an IHG Hotel",7.9,"Western Suburbs, Mumbai","1,826 reviews"
18,FabHotel Royal Mumbai International Airport,7.4,"Western Suburbs, Mumbai",334 reviews
19,Residency Sarovar Portico,6.9,"Western Suburbs, Mumbai",553 reviews
20,Hotel Marine Plaza,7.6,"Churchgate, Mumbai",551 reviews
21,President - IHCL SeleQtions,8.2,"South Mumbai, Mumbai","1,933 reviews"
22,"ITC Maratha, a Luxury Collection Hotel, Mumbai",8.1,"Western Suburbs, Mumbai","2,561 reviews"
23,Hotel Ariana Residency,7.0,"Western Suburbs, Mumbai",520 reviews
24,Hotel New Blue Sapphire Residency,8.6,"Western Suburbs, Mumbai",223 reviews
